Step,AgentID,Wealth,Position,Order
15,rnd_trader_3,248.91993891910832,sell,1
15,saver_2,1047.29,buy,0
15,follower_5,793.5310177414347,buy,1
15,saver_7,1020.4,buy,0
15,saver_17,1023.1601274983514,sell,0
15,saver_16,1013.3416000000002,sell,0
15,rnd_trader_1,229.43993891910836,sell,1
15,saver_4,971.2061254590587,buy,5
15,saver_10,944.09,buy,0
15,follower_1,787.1970452134436,sell,1
15,rnd_trader_5,244.38993891910835,buy,1
15,saver_15,943.06,sell,0
15,saver_0,960.2046258126029,buy,0
15,saver_1,995.02319136,buy,0
15,rnd_trader_2,243.99993891910836,buy,1
15,follower_0,804.711464683497,sell,1
15,saver_9,1094.0761254590586,buy,5
15,saver_13,985.7461254590586,sell,5
15,follower_3,748.4314646834969,sell,1
15,rnd_trader_4,232.14993891910834,buy,1
16,saver_3,1048.13,buy,0
16,saver_12,901.3,buy,0
16,saver_8,939.77,buy,0
16,saver_14,1014.09319136,sell,0
16,follower_2,757.9245469471656,buy,1
16,saver_11,955.64,buy,0
16,saver_5,952.3816,buy,0
16,rnd_trader_0,273.62606076367445,buy,1
16,follower_4,821.8416436867698,buy,1
16,saver_6,943.73,buy,0
16,rnd_trader_3,240.40606076367442,sell,1
16,saver_2,1047.29,buy,0
16,follower_5,803.5310177414347,buy,1
16,saver_7,1020.4,buy,0
16,saver_17,1023.1601274983514,sell,0
16,saver_16,1013.3416000000002,sell,0
16,rnd_trader_1,220.92606076367446,buy,1
16,saver_4,971.2061254590587,buy,0
16,saver_10,944.09,buy,0
16,follower_1,806.4972242167165,buy,1
16,rnd_trader_5,235.87606076367445,buy,1
16,saver_15,943.06,sell,0
16,saver_0,960.2046258126029,buy,0
16,saver_1,995.02319136,buy,0
16,rnd_trader_2,235.48606076367446,sell,1
16,follower_0,824.0116436867698,buy,1
16,saver_9,1094.0761254590586,buy,0
16,saver_13,985.7461254590586,sell,0
16,follower_3,767.7316436867698,buy,1
16,rnd_trader_4,223.63606076367444,buy,1
17,saver_3,1048.13,buy,0
17,saver_12,901.3,buy,0
17,saver_8,939.77,buy,0
17,saver_14,1014.09319136,sell,0
17,follower_2,767.9245469471656,buy,1
17,saver_11,955.64,buy,0
17,saver_5,952.3816,buy,0
17,rnd_trader_0,264.35107235580585,sell,1
17,follower_4,821.5666552789012,buy,1
17,saver_6,943.73,buy,0
17,rnd_trader_3,231.1310723558058,buy,1
17,saver_2,1047.29,buy,0
17,follower_5,813.5310177414347,buy,1
17,saver_7,1020.4,buy,0
17,saver_17,1023.1601274983514,sell,0
17,saver_16,1013.3416000000002,sell,0
17,rnd_trader_1,211.65107235580584,sell,1
17,saver_4,971.2061254590587,buy,0
17,saver_10,944.09,buy,0
17,follower_1,806.2222358088479,buy,1
17,rnd_trader_5,226.60107235580583,buy,1
17,saver_15,943.06,sell,0
17,saver_0,960.2046258126029,buy,0
17,saver_1,995.02319136,buy,0
17,rnd_trader_2,226.21107235580584,buy,1
17,follower_0,823.7366552789013,sell,1
17,saver_9,1094.0761254590586,buy,0
17,saver_13,985.7461254590586,sell,0
17,follower_3,767.4566552789012,buy,1
17,rnd_trader_4,214.36107235580582,buy,1
18,saver_3,1048.13,buy,0
18,saver_12,901.3,buy,0
18,saver_8,939.77,buy,0
18,saver_14,1014.09319136,sell,0
18,follower_2,788.8160346595064,sell,1
18,saver_11,955.64,buy,0
18,saver_5,952.3816,buy,0
18,rnd_trader_0,254.45958464346512,buy,1
18,follower_4,831.5666552789012,buy,1
18,saver_6,989.2725614382963,buy,5
18,rnd_trader_3,221.23958464346507,buy,1
18,saver_2,1047.29,buy,0
18,follower_5,823.5310177414347,buy,1
18,saver_7,1020.4,buy,0
18,saver_17,1023.1601274983514,sell,0
18,saver_16,1013.3416000000002,sell,0
18,rnd_trader_1,201.7595846434651,sell,1
18,saver_4,971.2061254590587,buy,0
18,saver_10,944.09,buy,0
18,follower_1,816.2222358088479,buy,1
18,rnd_trader_5,216.7095846434651,buy,1
18,saver_15,943.06,sell,0
18,saver_0,960.2046258126029,buy,0
18,saver_1,995.02319136,buy,0
18,rnd_trader_2,216.3195846434651,sell,1
18,follower_0,843.3951443822978,buy,1
18,saver_9,1094.0761254590586,buy,0
18,saver_13,985.7461254590586,sell,0
18,follower_3,777.4566552789012,buy,1
18,rnd_trader_4,204.46958464346508,sell,1
19,saver_3,1088.771391967743,buy,5
19,saver_12,901.3,buy,0
19,saver_8,939.77,buy,0
19,saver_14,1014.09319136,sell,0
19,follower_2,805.4178628694315,buy,1
19,saver_11,955.64,buy,0
19,saver_5,952.3816,buy,0
19,rnd_trader_0,243.58786303701373,buy,1
19,follower_4,853.4383768853526,sell,1
19,saver_6,989.2725614382963,buy,0
19,rnd_trader_3,210.36786303701365,sell,1
19,saver_2,1047.29,buy,0
19,follower_5,845.402739347886,sell,1
19,saver_7,1061.041391967743,buy,5
19,saver_17,1023.1601274983514,sell,0
19,saver_16,1013.3416000000002,sell,0
19,rnd_trader_1,190.8878630370137,sell,1
19,saver_4,971.2061254590587,buy,0
19,saver_10,944.09,buy,0
19,follower_1,838.0939574152993,sell,1
19,rnd_trader_5,205.83786303701368,sell,1
19,saver_15,943.06,sell,0
19,saver_0,960.2046258126029,buy,0
19,saver_1,995.02319136,buy,0
19,rnd_trader_2,205.4478630370137,sell,1
19,follower_0,841.5234227758464,buy,1
19,saver_9,1094.0761254590586,buy,0
19,saver_13,985.7461254590586,sell,0
19,follower_3,799.3283768853526,sell,1
19,rnd_trader_4,193.59786303701367,buy,1
20,saver_3,1088.771391967743,buy,0
20,saver_12,901.3,buy,0
20,saver_8,939.77,buy,0
20,saver_14,1014.09319136,sell,0
20,follower_2,802.833837966593,buy,1
20,saver_11,955.64,buy,0
20,saver_5,952.3816,buy,0
20,rnd_trader_0,232.00383813417525,buy,1
20,follower_4,871.4043287982513,buy,1
20,saver_6,989.2725614382963,buy,0
20,rnd_trader_3,198.78383813417517,sell,1
20,saver_2,1047.29,buy,0
20,follower_5,863.950663445707,buy,1
20,saver_7,1061.041391967743,buy,0
20,saver_17,1023.1601274983514,sell,0
20,saver_16,1013.3416000000002,sell,0
20,rnd_trader_1,179.3038381341752,sell,1
20,saver_4,971.2061254590587,buy,0
20,saver_10,981.1698754858077,buy,5
20,follower_1,856.059909328198,buy,1
20,rnd_trader_5,194.2538381341752,buy,1
20,saver_15,943.06,sell,0
20,saver_0,960.2046258126029,buy,0
20,saver_1,995.02319136,buy,0
20,rnd_trader_2,193.8638381341752,buy,1
20,follower_0,851.5234227758464,buy,1
20,saver_9,1094.0761254590586,buy,0
20,saver_13,985.7461254590586,sell,0
20,follower_3,817.2943287982513,buy,1
20,rnd_trader_4,182.0138381341752,buy,1
21,saver_3,1088.771391967743,buy,0
21,saver_12,901.3,buy,0
21,saver_8,939.77,buy,0
21,saver_14,1014.09319136,sell,0
21,follower_2,812.833837966593,buy,1
21,saver_11,955.64,buy,0
21,saver_5,952.3816,buy,0
21,rnd_trader_0,218.78388999396776,sell,1
21,follower_4,867.1843806580438,buy,1
21,saver_6,989.2725614382963,buy,0
21,rnd_trader_3,185.56388999396768,buy,1
21,saver_2,1047.29,buy,0
21,follower_5,859.7307153054995,sell,1
21,saver_7,1061.041391967743,buy,0
21,saver_17,1023.1601274983514,sell,0
21,saver_16,1013.3416000000002,sell,0
21,rnd_trader_1,166.08388999396772,sell,1
21,saver_4,971.2061254590587,buy,0
21,saver_10,981.1698754858077,buy,0
21,follower_1,851.8399611879905,buy,1
21,rnd_trader_5,181.0338899939677,buy,1
21,saver_15,943.06,sell,0
21,saver_0,960.2046258126029,buy,0
21,saver_1,995.02319136,buy,0
21,rnd_trader_2,180.64388999396772,buy,1
21,follower_0,875.7433709160539,sell,1
21,saver_9,1094.0761254590586,buy,0
21,saver_13,985.7461254590586,sell,0
21,follower_3,813.0743806580438,buy,1
21,rnd_trader_4,168.7938899939677,sell,1
22,saver_3,1088.771391967743,buy,0
22,saver_12,901.3,buy,0
22,saver_8,967.2482644849417,buy,5
22,saver_14,1014.09319136,sell,0
22,follower_2,837.3381850696046,sell,1
22,saver_11,955.64,buy,0
22,saver_5,952.3816,buy,0
22,rnd_trader_0,205.27954289095612,sell,1
22,follower_4,877.1843806580438,buy,1
22,saver_6,989.2725614382963,buy,0
22,rnd_trader_3,172.05954289095604,sell,1
22,saver_2,1047.29,buy,0
22,follower_5,883.6662644829029,buy,1
22,saver_7,1061.041391967743,buy,0
22,saver_17,1023.1601274983514,sell,0
22,saver_16,1013.3416000000002,sell,0
22,rnd_trader_1,152.57954289095608,buy,1
22,saver_4,971.2061254590587,buy,0
22,saver_10,981.1698754858077,buy,0
22,follower_1,861.8399611879905,buy,1
22,rnd_trader_5,167.52954289095607,sell,1
22,saver_15,943.06,sell,0
22,saver_0,960.2046258126029,buy,0
22,saver_1,995.02319136,buy,0
22,rnd_trader_2,167.13954289095608,sell,1
22,follower_0,894.9824670259451,buy,1
22,saver_9,1094.0761254590586,buy,0
22,saver_13,985.7461254590586,sell,0
22,follower_3,823.0743806580438,buy,1
22,rnd_trader_4,155.28954289095606,sell,1
23,saver_3,1088.771391967743,buy,0
23,saver_12,901.3,buy,0
23,saver_8,967.2482644849417,buy,0
23,saver_14,1014.09319136,sell,0
23,follower_2,857.2766704171194,buy,1
23,saver_11,955.64,buy,0
23,saver_5,976.2337777091891,buy,5
23,rnd_trader_0,191.0499784327939,buy,1
23,follower_4,887.1843806580438,buy,1
23,saver_6,989.2725614382963,buy,0
23,rnd_trader_3,157.8299784327938,sell,1
23,saver_2,1071.142177709189,buy,5
23,follower_5,878.4367000247406,buy,1
23,saver_7,1061.041391967743,buy,0
23,saver_17,1023.1601274983514,sell,0
23,saver_16,1037.1937777091891,sell,5
23,rnd_trader_1,138.34997843279385,sell,1
23,saver_4,971.2061254590587,buy,0
23,saver_10,981.1698754858077,buy,0
23,follower_1,871.8399611879905,buy,1
23,rnd_trader_5,153.29997843279384,buy,1
23,saver_15,943.06,sell,0
23,saver_0,960.2046258126029,buy,0
23,saver_1,995.02319136,buy,0
23,rnd_trader_2,152.90997843279385,buy,1
23,follower_0,889.7529025677828,buy,1
23,saver_9,1094.0761254590586,buy,0
23,saver_13,985.7461254590586,sell,0
23,follower_3,833.0743806580438,buy,1
23,rnd_trader_4,141.05997843279383,buy,1
24,saver_3,1088.771391967743,buy,0
24,saver_12,901.3,buy,0
24,saver_8,967.2482644849417,buy,0
24,saver_14,1014.09319136,sell,0
24,follower_2,850.067262579396,sell,1
24,saver_11,955.64,buy,0
24,saver_5,976.2337777091891,buy,0
24,rnd_trader_0,174.84057059507057,buy,1
24,follower_4,914.3937884957671,sell,1
24,saver_6,989.2725614382963,buy,0
24,rnd_trader_3,141.6205705950705,sell,1
24,saver_2,1071.142177709189,buy,0
24,follower_5,905.646107862464,sell,1
24,saver_7,1061.041391967743,buy,0
24,saver_17,1023.1601274983514,sell,0
24,saver_16,1037.1937777091891,sell,0
24,rnd_trader_1,122.14057059507054,sell,1
24,saver_4,971.2061254590587,buy,0
24,saver_10,981.1698754858077,buy,0
24,follower_1,899.0493690257139,sell,1
24,rnd_trader_5,137.09057059507052,buy,1
24,saver_15,943.06,sell,0
24,saver_0,960.2046258126029,buy,0
24,saver_1,995.02319136,buy,0
24,rnd_trader_2,136.70057059507053,sell,1
24,follower_0,916.9623104055062,sell,1
24,saver_9,1094.0761254590586,buy,0
24,saver_13,985.7461254590586,sell,0
24,follower_3,860.2837884957671,sell,1
24,rnd_trader_4,124.85057059507052,sell,1
25,saver_3,1088.771391967743,buy,0
25,saver_12,901.3,buy,0
25,saver_8,967.2482644849417,buy,0
25,saver_14,1034.9299153064728,sell,5
25,follower_2,860.067262579396,sell,1
25,saver_11,955.64,buy,0
25,saver_5,976.2337777091891,buy,0
25,rnd_trader_0,160.00791538436513,sell,1
25,follower_4,924.3937884957671,sell,1
25,saver_6,989.2725614382963,buy,0
